"","sikker_fg","fg_kunnskap_1","fg_kunnskap_2","fg_kunnskap_3","fg_forbedring","fg_likhet_1","fg_likhet_2","fg_likhet_3","fg_kunnskap2","fg_auto_flykt","fg_region","fg_kjennskap_nav","fg_auto_nav","fg_pari_nav","fg_kjennskap_prv","fg_auto_prv","fg_imp_1","fg_imp_2","fg_imp_3","fg_flykt_post","fg_nav_post","fg_prv_post","fg_tradeoff_1","fg_tradeoff_2","fg_tradeoff_3","demo_edu","demo_party","demo_trust","demo_lr_scale","post","fg_sikkert_post","fo_delib","fo_media","on_sikkert_post","fg"
"67",NA,4,4,2,3,2,2,4,4,2,8,4,2,1,4,2,4,4,4,2,2,2,2,3,3,7,13,1,2,0,NA,NA,NA,NA,1
"68",NA,5,4,4,2,8,8,8,5,1,5,5,1,2,5,1,4,3,4,1,1,1,2,1,2,5,2,1,10,0,NA,NA,NA,NA,0
"69",NA,4,3,3,4,3,3,4,5,1,5,4,1,2,4,1,4,4,5,1,1,1,3,3,1,3,1,2,6,0,NA,NA,NA,NA,1
"70",NA,3,2,1,1,1,4,4,6,2,7,7,2,1,5,1,4,4,5,2,2,2,1,1,1,7,3,1,5,0,NA,NA,NA,NA,1
"71",NA,4,4,4,3,8,3,4,3,1,2,3,1,1,2,1,5,5,5,2,1,2,1,2,2,6,3,3,5,0,NA,NA,NA,NA,1
"72",NA,3,4,4,3,3,3,8,5,1,5,8,1,1,8,1,4,3,4,2,1,1,2,1,1,6,7,2,4,0,NA,NA,NA,NA,1
"73",NA,2,4,4,9,8,8,8,4,2,4,4,2,2,1,1,4,3,4,2,2,1,2,1,1,5,9,3,5,0,NA,NA,NA,NA,0
"74",NA,4,4,4,2,8,8,8,5,1,5,5,1,1,5,2,5,5,5,2,2,2,3,2,2,5,10,3,5,0,NA,NA,NA,NA,0
"75",NA,4,6,5,3,8,3,8,8,1,4,4,1,2,3,1,4,4,5,2,1,2,3,3,3,6,4,2,7,0,NA,NA,NA,NA,0
"76",NA,5,3,3,6,6,5,4,4,4,3,4,3,2,3,1,3,4,4,1,1,1,3,1,3,3,6,3,5,0,NA,NA,NA,NA,1
"77",NA,4,4,2,5,7,3,6,4,1,5,4,1,1,1,1,5,3,5,1,1,1,1,1,1,9,11,3,11,0,NA,NA,NA,NA,0
"78",NA,5,5,5,6,6,4,6,3,1,1,1,1,2,8,1,4,4,4,1,1,1,1,1,1,2,11,2,11,0,NA,NA,NA,NA,0
"79",NA,5,3,5,9,1,1,3,5,1,4,2,1,2,4,1,4,5,3,2,1,1,1,2,2,6,7,2,2,0,NA,NA,NA,NA,0
"80",NA,3,5,5,3,8,3,6,5,1,2,5,1,3,5,1,3,4,4,2,2,3,3,3,3,6,7,2,3,0,NA,NA,NA,NA,1
"81",NA,4,4,3,4,4,4,3,4,2,5,5,2,1,5,2,3,4,4,2,2,3,3,3,3,7,8,2,2,0,NA,NA,NA,NA,0
"82",NA,4,5,5,3,5,5,4,6,2,4,5,1,1,5,1,4,4,4,2,2,3,2,2,2,3,1,5,9,0,NA,NA,NA,NA,1
"83",NA,4,5,5,2,3,2,3,5,4,3,6,1,2,7,1,4,4,4,2,2,2,2,1,2,5,9,2,4,0,NA,NA,NA,NA,0
"84",NA,5,3,4,5,5,3,4,3,1,5,3,1,1,1,1,4,4,4,1,1,1,2,1,1,5,7,2,4,0,NA,NA,NA,NA,1
"85",NA,4,4,2,6,6,6,4,2,4,2,2,1,3,2,1,2,3,2,1,1,1,3,3,3,6,2,4,6,0,NA,NA,NA,NA,0
"86",NA,4,5,5,5,3,3,6,4,1,5,8,1,1,2,1,3,4,5,2,1,2,1,3,3,3,9,4,11,0,NA,NA,NA,NA,1
"87",NA,4,4,4,9,4,2,4,6,2,8,5,2,2,5,1,3,4,3,2,2,1,2,3,3,6,3,1,5,0,NA,NA,NA,NA,1
"88",NA,4,5,5,2,8,8,8,4,1,8,4,2,1,3,1,4,4,4,3,3,3,2,3,3,5,9,3,11,0,NA,NA,NA,NA,0
"89",NA,3,5,5,9,6,8,6,8,1,8,3,1,1,2,1,4,2,4,3,1,1,1,1,1,5,13,2,3,0,NA,NA,NA,NA,0
"90",NA,4,2,4,9,8,8,8,3,4,4,5,3,3,1,3,5,5,5,1,1,1,3,3,3,3,9,6,5,0,NA,NA,NA,NA,0
"91",NA,4,4,4,3,3,3,4,5,1,6,5,1,2,5,1,4,4,5,2,2,2,1,1,1,7,2,3,7,0,NA,NA,NA,NA,1
"92",NA,4,4,3,5,7,7,2,1,1,2,5,1,1,5,1,4,3,4,1,1,1,1,1,1,6,8,3,2,0,NA,NA,NA,NA,1
"93",NA,4,4,4,5,6,4,6,4,1,4,5,2,3,4,1,3,3,4,3,1,2,1,1,3,7,11,4,11,0,NA,NA,NA,NA,0
"94",NA,4,2,2,3,2,3,4,5,1,5,5,1,3,1,1,4,4,5,2,2,1,3,3,3,7,6,2,4,0,NA,NA,NA,NA,1
"95",NA,4,5,4,3,5,3,4,5,2,6,6,2,1,3,1,5,4,5,2,2,1,1,1,2,3,2,2,11,0,NA,NA,NA,NA,1
"96",NA,4,4,3,3,6,4,3,3,1,4,3,1,2,3,1,4,3,4,2,1,2,2,3,3,6,6,2,6,0,NA,NA,NA,NA,1
"97",NA,4,5,4,9,8,4,8,4,2,4,3,1,2,5,1,3,3,3,2,2,1,2,3,1,6,8,2,1,0,NA,NA,NA,NA,1
"98",NA,4,1,1,5,4,4,4,3,1,1,8,1,3,2,1,4,4,4,1,1,1,3,3,3,7,6,4,4,0,NA,NA,NA,NA,0
"99",NA,4,5,5,4,6,5,8,4,1,2,3,1,1,5,1,4,4,5,2,2,2,1,1,1,6,8,2,3,0,NA,NA,NA,NA,1
"100",NA,4,2,4,3,3,2,2,8,4,4,8,1,1,8,1,3,5,4,2,2,2,1,1,1,5,2,2,7,0,NA,NA,NA,NA,1
"101",NA,3,5,4,4,5,4,4,4,2,6,5,2,1,4,2,4,5,3,2,2,2,2,2,1,6,2,2,8,0,NA,NA,NA,NA,0
"102",NA,4,4,4,3,2,3,8,5,2,4,5,1,2,3,1,3,4,5,2,2,3,1,2,2,5,2,2,6,0,NA,NA,NA,NA,1
"103",NA,4,4,4,9,8,8,8,8,1,5,5,1,3,3,1,5,5,5,3,2,1,1,1,2,7,13,2,4,0,NA,NA,NA,NA,1
"104",NA,2,4,4,2,3,1,3,7,1,7,7,1,1,7,1,5,4,4,2,2,2,2,1,1,6,8,2,2,0,NA,NA,NA,NA,1
"105",NA,3,4,6,3,5,4,5,4,4,3,4,3,3,3,1,4,4,5,2,2,2,1,1,1,6,2,2,7,0,NA,NA,NA,NA,0
"106",NA,4,4,4,9,6,4,4,5,2,4,5,2,1,4,1,5,5,5,2,2,2,3,3,3,6,2,2,7,0,NA,NA,NA,NA,1
"107",NA,3,4,5,9,4,8,8,4,1,4,1,1,1,4,1,3,5,5,2,1,2,3,3,3,6,9,1,2,0,NA,NA,NA,NA,0
"108",NA,4,4,4,3,6,3,4,4,1,5,4,1,1,3,1,4,4,4,1,1,1,2,2,2,7,2,2,6,0,NA,NA,NA,NA,0
"109",NA,4,3,2,9,3,3,3,4,1,5,3,1,1,5,1,5,3,3,2,1,2,2,2,2,7,6,3,5,0,NA,NA,NA,NA,0
"110",NA,4,3,4,4,3,5,2,3,1,4,2,3,3,2,3,3,4,2,1,1,3,1,3,3,9,11,2,5,0,NA,NA,NA,NA,0
"111",NA,2,4,4,5,1,1,4,3,1,4,5,1,3,2,1,4,4,5,2,1,1,1,3,2,6,7,3,11,0,NA,NA,NA,NA,1
"112",NA,4,4,4,3,4,3,4,5,1,4,5,1,1,5,1,4,4,4,2,2,2,2,2,2,6,13,2,4,0,NA,NA,NA,NA,1
"113",NA,4,3,4,2,3,2,3,5,1,4,5,1,1,5,1,3,3,3,2,2,2,1,1,1,7,7,2,3,0,NA,NA,NA,NA,0
"114",NA,5,5,3,9,8,8,8,3,1,4,5,1,3,3,1,5,4,5,2,2,1,3,3,3,2,6,2,4,0,NA,NA,NA,NA,1
"115",NA,4,3,3,6,4,3,4,5,4,4,2,1,3,3,1,3,3,3,1,1,2,1,1,2,5,6,4,5,0,NA,NA,NA,NA,1
"116",NA,3,5,5,9,5,8,8,3,1,3,8,1,3,2,1,5,6,4,1,1,1,1,3,3,6,7,2,2,0,NA,NA,NA,NA,1
"117",NA,4,4,2,2,3,2,4,5,1,8,6,1,2,3,1,3,5,4,2,2,2,2,2,2,5,2,1,6,0,NA,NA,NA,NA,0
"118",NA,4,2,3,2,8,3,4,2,1,6,3,1,2,2,1,4,4,5,1,1,1,1,3,2,6,9,3,7,0,NA,NA,NA,NA,0
"119",NA,4,4,4,3,4,3,5,5,1,6,6,1,2,5,1,5,4,5,2,2,3,2,2,2,NA,NA,NA,NA,1,3,2,4,NA,1
"120",NA,3,2,4,2,2,1,3,5,1,5,6,1,1,2,1,3,4,5,2,2,1,1,1,3,NA,NA,NA,NA,1,3,1,4,NA,1
"121",NA,4,4,1,3,4,5,5,3,1,3,3,1,1,4,1,4,4,4,1,1,1,1,1,1,NA,NA,NA,NA,1,2,2,4,NA,1
"122",NA,2,5,5,3,2,3,4,5,1,5,5,1,1,5,1,3,3,5,2,2,2,1,1,1,NA,NA,NA,NA,1,2,3,5,NA,1
"123",NA,3,2,3,3,3,1,5,3,1,3,5,1,1,5,1,4,4,5,2,1,2,1,2,1,NA,NA,NA,NA,1,3,2,4,NA,1
"124",NA,4,4,4,3,4,3,3,6,1,4,5,1,3,5,1,3,3,3,1,1,1,3,3,3,NA,NA,NA,NA,1,2,1,5,NA,1
"125",NA,2,2,3,3,3,3,3,5,1,5,5,1,1,4,1,4,3,5,2,2,1,1,1,1,NA,NA,NA,NA,1,3,1,4,NA,1
"126",NA,4,5,5,3,3,3,4,5,1,5,5,1,1,5,1,4,4,4,2,2,2,2,3,3,NA,NA,NA,NA,1,3,2,5,NA,1
"127",NA,4,4,4,3,5,3,3,5,1,5,5,1,2,5,1,4,4,4,2,1,2,1,2,2,NA,NA,NA,NA,1,3,2,4,NA,1
"128",NA,3,2,3,3,4,3,4,5,1,8,8,1,3,2,1,5,4,5,1,3,1,3,3,3,NA,NA,NA,NA,1,3,2,5,NA,1
"129",NA,3,4,4,3,5,4,3,6,2,6,5,1,2,3,1,3,3,4,2,2,1,1,3,2,NA,NA,NA,NA,1,2,1,4,NA,1
"130",NA,3,2,2,3,5,3,4,5,1,5,5,1,1,5,1,5,3,5,1,2,1,3,3,3,NA,NA,NA,NA,1,3,2,5,NA,1
"131",NA,3,3,3,2,3,3,4,5,1,5,5,1,1,5,1,4,4,5,1,1,1,1,1,3,NA,NA,NA,NA,1,2,2,5,NA,1
"132",NA,3,3,3,3,3,2,4,5,1,4,6,1,1,5,1,4,5,5,2,2,2,1,2,2,NA,NA,NA,NA,1,3,1,4,NA,1
"133",NA,3,4,3,3,4,3,4,6,2,6,4,2,1,3,1,3,4,5,2,2,1,1,3,1,NA,NA,NA,NA,1,3,2,4,NA,1
"134",NA,3,4,3,3,3,4,4,5,1,5,5,1,1,5,1,3,4,4,1,3,3,3,3,3,NA,NA,NA,NA,1,2,1,4,NA,1
"135",NA,3,3,3,3,3,3,3,6,1,6,6,1,1,6,1,4,4,4,2,2,2,2,1,1,NA,NA,NA,NA,1,2,2,5,NA,1
"136",NA,3,4,3,3,3,4,4,5,1,3,5,1,2,4,1,4,4,5,1,1,1,3,1,1,NA,NA,NA,NA,1,3,1,4,NA,1
"137",NA,2,4,4,3,4,2,3,6,1,3,5,1,2,5,1,5,5,5,2,2,2,1,1,1,NA,NA,NA,NA,1,3,1,4,NA,1
"138",NA,4,4,5,3,4,3,4,5,1,5,5,1,1,5,1,4,3,4,1,2,1,1,2,2,NA,NA,NA,NA,1,2,2,5,NA,1
"139",NA,3,2,2,3,5,3,4,5,1,4,6,1,1,5,1,4,3,4,2,2,1,2,2,2,NA,NA,NA,NA,1,3,2,4,NA,1
"140",NA,3,3,3,3,3,3,3,5,1,3,5,1,2,5,1,5,4,5,2,2,2,1,1,2,NA,NA,NA,NA,1,3,1,4,NA,1
"141",NA,4,4,3,3,5,3,3,6,1,6,6,1,1,3,1,4,4,5,1,2,1,3,3,3,NA,NA,NA,NA,1,3,1,4,NA,1
"142",NA,4,4,3,3,3,4,2,6,2,3,6,1,2,3,1,4,6,5,2,2,1,3,3,3,NA,NA,NA,NA,1,3,1,4,NA,1
"143",NA,3,2,4,3,4,3,5,3,1,5,6,1,1,3,1,5,4,5,1,1,1,2,3,3,NA,NA,NA,NA,1,3,1,4,NA,1
"144",NA,2,4,4,3,4,4,4,5,1,6,5,1,3,3,1,3,3,4,1,1,1,3,3,3,NA,NA,NA,NA,1,3,1,4,NA,1
"145",NA,4,4,4,3,4,3,4,5,1,3,5,1,1,5,1,4,4,4,1,1,1,1,1,1,NA,NA,NA,NA,1,2,2,4,NA,1
"146",NA,4,4,4,3,4,3,4,6,1,3,6,1,2,6,1,4,3,5,3,2,1,2,1,3,NA,NA,NA,NA,1,3,2,4,NA,1
"147",NA,3,2,3,2,2,2,4,5,1,6,5,1,2,5,1,4,4,3,2,1,2,3,3,3,NA,NA,NA,NA,1,3,2,4,NA,1
"148",NA,4,5,4,3,3,2,4,5,1,5,5,1,1,5,1,4,3,4,2,2,1,1,3,3,NA,NA,NA,NA,1,3,1,4,NA,1
"149",NA,4,4,4,3,4,2,4,4,1,5,5,1,2,5,1,4,4,4,3,3,3,1,2,2,NA,NA,NA,NA,1,3,1,4,NA,1
"150",NA,3,4,4,2,4,2,2,6,1,3,6,1,1,6,1,5,4,4,2,2,3,1,1,1,NA,NA,NA,NA,1,3,1,4,NA,1
"151",NA,3,5,5,3,2,4,4,3,1,1,2,1,2,1,1,4,2,5,1,1,1,1,1,1,NA,NA,NA,NA,1,2,1,5,NA,1
"152",NA,3,4,4,3,5,3,4,5,1,6,5,1,1,5,1,2,3,3,2,2,3,1,1,1,NA,NA,NA,NA,1,3,3,4,NA,1
"153",NA,3,4,5,3,3,3,4,3,4,3,3,1,2,3,1,4,4,5,2,2,2,2,3,1,NA,NA,NA,NA,1,2,2,4,NA,1
"154",NA,2,3,4,3,7,3,5,5,1,5,5,1,1,3,1,4,3,5,2,2,2,1,2,1,NA,NA,NA,NA,1,3,1,4,NA,1
"155",NA,4,4,4,3,5,2,5,5,1,5,5,1,1,3,1,3,3,5,2,2,2,2,2,2,NA,NA,NA,NA,1,3,1,4,NA,1
"156",NA,2,4,4,3,8,8,8,6,1,4,5,1,2,5,1,3,4,4,2,2,2,1,1,1,NA,NA,NA,NA,1,2,2,4,NA,1
"157",NA,3,4,4,3,5,3,4,5,1,4,5,1,1,5,1,3,3,3,2,2,2,1,1,2,NA,NA,NA,NA,1,2,2,5,NA,1
"158",NA,4,4,4,4,4,4,4,5,1,3,5,1,1,4,1,4,3,4,2,1,1,3,3,3,NA,NA,NA,NA,1,2,2,4,NA,1
"159",NA,4,3,2,3,4,5,5,5,1,3,5,1,2,2,1,4,3,5,1,1,3,2,3,2,NA,NA,NA,NA,1,3,2,4,NA,1
"160",NA,2,1,2,1,2,1,4,7,2,5,6,2,1,3,1,2,2,5,2,2,1,1,3,1,NA,NA,NA,NA,1,3,3,5,NA,1
"161",NA,4,5,3,3,6,2,5,6,1,8,6,1,1,5,1,4,4,5,2,1,1,2,1,3,NA,NA,NA,NA,1,2,1,5,NA,1
"162",NA,4,6,4,9,6,5,3,5,1,4,8,3,3,8,3,6,6,6,2,2,2,3,3,3,NA,NA,NA,NA,1,NA,2,5,2,0
"163",NA,2,4,4,3,5,3,4,5,1,6,6,2,1,2,1,3,4,5,2,1,1,1,1,1,NA,NA,NA,NA,1,NA,2,4,3,0
"164",NA,1,4,4,2,1,3,4,6,1,6,6,1,1,6,1,4,3,3,2,2,2,1,1,1,NA,NA,NA,NA,1,NA,2,5,1,0
"165",NA,4,4,4,3,3,3,4,4,1,5,5,1,1,5,1,3,4,5,2,2,2,1,1,1,NA,NA,NA,NA,1,NA,2,4,2,0
"166",NA,4,5,5,3,4,4,4,4,1,3,5,1,2,4,1,4,4,4,2,2,2,1,1,2,NA,NA,NA,NA,1,NA,1,5,3,0
"167",NA,3,3,3,3,3,3,4,5,1,6,3,1,1,5,1,4,4,4,2,2,1,1,2,1,NA,NA,NA,NA,1,NA,1,5,2,0
"168",NA,3,4,4,2,2,2,4,5,2,5,5,1,1,6,1,4,5,5,2,2,2,1,2,1,NA,NA,NA,NA,1,NA,3,5,2,0
"169",NA,4,4,4,9,6,5,7,8,1,8,8,1,1,8,1,2,3,4,1,1,1,1,1,2,NA,NA,NA,NA,1,NA,1,4,3,0
"170",NA,4,4,4,3,5,3,4,5,1,5,3,1,1,3,1,4,4,5,1,1,1,2,2,2,NA,NA,NA,NA,1,NA,2,4,3,0
"171",NA,4,4,4,5,3,3,4,3,1,5,3,1,1,1,1,3,4,4,1,1,1,3,3,3,NA,NA,NA,NA,1,NA,2,4,3,0
